scan_date,代碼,股票名稱,entry_price,訊號類型,訊號方向,訊號分數,追蹤等級,RS加權報酬%,MA位置,MA排列,成交量(張),status,days_tracked,return_3d%,return_5d%,return_10d%,max_gain_5d%,max_drawdown_5d%,max_gain_10d%,max_drawdown_10d%,is_success_5d
2026-08-06,2354.TW,鴻準,61.0,3K反轉、布林縮窄突破、廣義上升三法、漲停、漲幅達標、單跳空,買,100,A強勢追蹤,4.28,>MA5,多頭,30087.6,tracking,1.0,,,,6.23,-0.33,6.23,-0.33,0.0
2026-08-06,2355.TW,敬鵬,41.6,廣義上升三法、單跳空,買,65,B可追蹤,0.93,>MA5,糾結,3435.7,tracking,1.0,,,,-0.0,-3.37,-0.0,-3.37,0.0
2026-08-06,2367.TW,燿華,42.4,廣義上升三法、單跳空,買,72,B可追蹤,2.62,>MA5,糾結,6890.2,tracking,1.0,,,,1.06,-3.77,1.06,-3.77,0.0
2026-08-06,2369.TW,菱生,34.25,廣義上升三法、周1K,買,81,A強勢追蹤,2.51,>MA5,糾結,8764.6,tracking,1.0,,,,1.75,-3.5,1.75,-3.5,0.0
2026-08-06,2374.TW,佳能,69.6,廣義上升三法、單跳空,買,63,C觀察,2.33,>MA5,糾結,2137.4,tracking,1.0,,,,2.73,-0.29,2.73,-0.29,0.0
2026-08-06,2399.TW,映泰,42.7,廣義上升三法、漲幅達標、三白兵、周1K,買,100,A強勢追蹤,7.66,>MA5,糾結,11723.5,tracking,1.0,,,,0.12,-3.75,0.12,-3.75,0.0
2026-08-06,2451.TW,創見,293.0,3K反轉、廣義上升三法、KD高腳,買,100,A強勢追蹤,5.09,>MA5,多頭,10798.6,tracking,1.0,,,,2.73,-0.51,2.73,-0.51,0.0
2026-08-06,2493.TW,揚博,220.0,漲幅達標、三白兵,買,56,C觀察,4.7,>MA5,糾結,4528.9,tracking,1.0,,,,2.05,-4.09,2.05,-4.09,0.0
2026-08-06,2527.TW,宏璟,45.95,3K反轉、漲幅達標,買,68,B可追蹤,5.63,>MA5,糾結,1311.8,tracking,1.0,,,,6.53,-0.11,6.53,-0.11,0.0
2026-08-06,2542.TW,興富發,44.1,廣義上升三法,買,62,C觀察,0.18,>MA5,多頭,5060.2,tracking,1.0,,,,1.13,-0.23,1.13,-0.23,0.0
2026-08-06,2637.TW,慧洋-KY,85.5,周1K,買,61,C觀察,3.34,>MA5,多頭,2207.4,tracking,1.0,,,,3.39,-0.23,3.39,-0.23,0.0
2026-08-06,3543.TW,州巧,36.6,廣義上升三法、漲停、漲幅達標,買,98,A強勢追蹤,8.62,>MA5,多頭,4534.2,tracking,1.0,,,,6.15,-3.69,6.15,-3.69,0.0
2026-08-06,3550.TW,聯穎,22.8,單跳空、周1K,買,61,C觀察,1.12,>MA5,糾結,2131.5,tracking,1.0,,,,9.65,-0.88,9.65,-0.88,0.0
2026-08-06,3712.TW,永崴投控,20.3,廣義上升三法,買,69,B可追蹤,8.34,>MA5,多頭,1086.3,tracking,1.0,,,,0.99,-0.99,0.99,-0.99,0.0
2026-08-06,4763.TW,材料*-KY,49.65,3K反轉,買,60,C觀察,1.23,>MA5,多頭,5508.3,tracking,1.0,,,,4.13,-0.3,4.13,-0.3,0.0
2026-08-06,4916.TW,事欣科,108.0,周1K,買,60,C觀察,4.56,>MA5,糾結,5046.2,tracking,1.0,,,,2.78,-1.39,2.78,-1.39,0.0
2026-08-06,6226.TW,光鼎,22.85,漲停、漲幅達標、周1K,買,65,B可追蹤,1.79,>MA5,糾結,13172.2,tracking,1.0,,,,4.16,-4.81,4.16,-4.81,0.0
2026-08-06,6831.TW,邁科,656.0,漲停、漲幅達標、單跳空、三白兵,買,79,A強勢追蹤,5.52,>MA5,糾結,1440.3,tracking,1.0,,,,5.95,-4.57,5.95,-4.57,0.0
2026-08-06,7788.TW,松川精密,218.0,單跳空、周1K,買,68,B可追蹤,4.5,>MA5,糾結,1005.6,tracking,1.0,,,,9.86,1.61,9.86,1.61,0.0
2026-08-06,8271.TW,宇瞻,247.0,廣義上升三法、KD高腳、漲幅達標,買,95,A強勢追蹤,10.98,>MA5,多頭,17234.4,tracking,1.0,,,,-1.01,-4.86,-1.01,-4.86,0.0
2026-08-06,3114.TWO,好德,36.9,廣義上升三法、漲停、漲幅達標、周1K,買,91,A強勢追蹤,4.62,>MA5,糾結,2315.9,tracking,1.0,,,,7.99,0.0,7.99,0.0,0.0
2026-08-06,3141.TWO,晶宏,78.4,雙跳空、廣義上升三法、單跳空、周1K,買,100,A強勢追蹤,8.1,>MA5,多頭,2597.1,tracking,1.0,,,,6.51,0.38,6.51,0.38,0.0
2026-08-06,3260.TWO,威剛,421.0,3K反轉、廣義上升三法,買,83,A強勢追蹤,3.22,>MA5,多頭,21616.8,tracking,1.0,,,,3.8,-1.78,3.8,-1.78,0.0
2026-08-06,3693.TWO,營邦,537.0,3K反轉、廣義上升三法、漲幅達標、三白兵,買,100,A強勢追蹤,8.42,>MA5,糾結,1167.0,tracking,1.0,,,,4.66,-2.79,4.66,-2.79,0.0
2026-08-06,3709.TWO,鑫聯大投控,79.5,單跳空,買,55,C觀察,6.31,>MA5,糾結,1076.9,tracking,1.0,,,,1.13,-1.38,1.13,-1.38,0.0
2026-08-06,4908.TWO,前鼎,157.0,單跳空、三白兵,買,64,C觀察,5.83,>MA5,糾結,5412.0,tracking,1.0,,,,2.87,-9.55,2.87,-9.55,0.0
2026-08-06,4931.TWO,新盛力,218.5,漲停、漲幅達標、單跳空、周1K,買,86,A強勢追蹤,4.79,>MA5,糾結,5790.3,tracking,1.0,,,,6.64,-2.52,6.64,-2.52,0.0
2026-08-06,4971.TWO,IET-KY,480.0,雙跳空、單跳空、三白兵,買,85,A強勢追蹤,14.97,>MA5,糾結,4507.4,tracking,1.0,,,,3.96,-6.25,3.96,-6.25,0.0
2026-08-06,5314.TWO,世紀*,59.5,廣義上升三法,買,60,C觀察,3.76,>MA5,糾結,3996.0,tracking,1.0,,,,2.02,-1.18,2.02,-1.18,0.0
2026-08-06,5498.TWO,凱崴,50.1,廣義上升三法、單跳空、三白兵,買,81,A強勢追蹤,3.91,>MA5,糾結,2291.5,tracking,1.0,,,,0.8,-3.99,0.8,-3.99,0.0
2026-08-06,6217.TWO,中探針,161.5,雙跳空、雙漲停、漲停、漲幅達標、單跳空、三白兵,買,100,A強勢追蹤,8.35,>MA5,糾結,1011.8,tracking,1.0,,,,6.81,-2.79,6.81,-2.79,0.0
2026-08-06,6727.TWO,亞泰金屬,400.0,單跳空、三白兵,買,60,C觀察,5.69,>MA5,糾結,1173.6,tracking,1.0,,,,2.37,-5.75,2.37,-5.75,0.0
2026-08-06,6907.TWO,雅特力-KY,195.0,3K反轉、廣義上升三法、漲停、漲幅達標,買,88,A強勢追蹤,9.27,>MA5,糾結,2479.4,tracking,1.0,,,,10.0,-3.59,10.0,-3.59,0.0
2026-08-06,8358.TWO,金居,384.0,漲停、漲幅達標,買,59,C觀察,5.32,>MA5,糾結,20816.5,tracking,1.0,,,,3.39,-8.85,3.39,-8.85,0.0
2026-08-06,2010.TW,春源,21.45,KD高腳、下降趨勢線突破(中長期),買,56,C觀察,0.82,>MA5,糾結,1279.4,tracking,1.0,,,,8.39,3.03,8.39,3.03,0.0
2026-08-06,9910.TW,豐泰,69.7,KD高腳、下降趨勢線突破(中長期),買,56,C觀察,0.3,>MA5,糾結,1310.5,tracking,1.0,,,,1.0,-1.29,1.0,-1.29,0.0
2026-08-07,1303.TW,南亞,188.0,3K反轉、周1K,買,65,B可追蹤,4.89,>MA5,糾結,128704.0,tracking,,,,,,,,,
2026-08-07,1402.TW,遠東新,27.5,3K反轉、KD高腳、下降趨勢線突破(中短期),買,63,C觀察,0.3,>MA5,空頭,21173.2,tracking,,,,,,,,,
2026-08-07,1605.TW,華新,34.55,廣義上升三法、周1K,買,76,A強勢追蹤,2.2,>MA5,糾結,16250.6,tracking,,,,,,,,,
2026-08-07,1608.TW,華榮,34.95,廣義上升三法、周1K,買,85,A強勢追蹤,4.75,>MA5,糾結,8794.6,tracking,,,,,,,,,
2026-08-07,1709.TW,和益,27.8,周1K,買,63,C觀察,7.24,>MA5,糾結,4758.9,tracking,,,,,,,,,
2026-08-07,1808.TW,潤隆,33.05,3K反轉、廣義上升三法,買,81,A強勢追蹤,1.95,>MA5,多頭,1599.3,tracking,,,,,,,,,
2026-08-07,1904.TW,正隆,22.8,布林縮窄突破、廣義上升三法、周1K,買,99,A強勢追蹤,1.37,>MA5,糾結,3979.6,tracking,,,,,,,,,
2026-08-07,1907.TW,永豐餘,30.35,廣義上升三法、周1K,買,90,A強勢追蹤,2.69,>MA5,多頭,3006.9,tracking,,,,,,,,,
2026-08-07,2006.TW,東和鋼鐵,86.2,漲停、廣義上升三法、漲幅達標、周1K,買,100,A強勢追蹤,8.31,>MA5,多頭,11103.4,tracking,,,,,,,,,
